date,values
2020-08-27,74
2020-08-26,488
2020-08-25,1041
2020-08-24,2319
2020-08-23,1191
2020-08-22,1550
2020-08-21,2723
2020-08-20,3400
2020-08-19,3431
2020-08-18,3462
2020-08-17,4061
2020-08-16,1425
2020-08-15,1967
2020-08-14,3896
2020-08-13,3525
2020-08-12,3792
2020-08-11,4482
2020-08-10,4516
2020-08-09,1682
2020-08-08,2463
2020-08-07,3843
2020-08-06,3898
2020-08-05,3452
2020-08-04,3791
2020-08-03,3843
2020-08-02,1356
2020-08-01,2223
2020-07-31,2593
2020-07-30,3750
2020-07-29,3406
2020-07-28,3839
2020-07-27,4525
2020-07-26,1420
2020-07-25,2676
2020-07-24,3883
2020-07-23,3938
2020-07-22,3755
2020-07-21,3558
2020-07-20,3864
2020-07-19,1263
2020-07-18,2213
2020-07-17,3448
2020-07-16,3047
2020-07-15,2887
2020-07-14,2416
2020-07-13,2487
2020-07-12,1328
2020-07-11,1896
2020-07-10,2489
2020-07-09,2474
2020-07-08,2152
2020-07-07,2379
2020-07-06,2339
2020-07-05,1002
2020-07-04,1505
2020-07-03,1969
2020-07-02,1964
2020-07-01,2246
2020-06-30,2046
2020-06-29,2140
2020-06-28,743
2020-06-27,837
2020-06-26,1353
2020-06-25,1607
2020-06-24,1181
2020-06-23,1118
2020-06-22,1120
2020-06-21,528
2020-06-20,845
2020-06-19,771
2020-06-18,848
2020-06-17,1050
2020-06-16,805
2020-06-15,865
2020-06-14,398
2020-06-13,367
2020-06-12,404
2020-06-11,808
2020-06-10,744
2020-06-09,750
2020-06-08,908
2020-06-07,309
2020-06-06,345
2020-06-05,794
2020-06-04,735
2020-06-03,534
2020-06-02,392
2020-06-01,511
2020-05-31,249
2020-05-30,231
2020-05-29,364
2020-05-28,440
2020-05-27,566
2020-05-26,476
2020-05-25,383
2020-05-24,229
2020-05-23,347
2020-05-22,420
2020-05-21,418
2020-05-20,508
2020-05-19,404
2020-05-18,330
2020-05-17,175
2020-05-16,218
2020-05-15,387
2020-05-14,395
2020-05-13,354
2020-05-12,313
2020-05-11,320
2020-05-10,170
2020-05-09,146
2020-05-08,464
2020-05-07,382
2020-05-06,344
2020-05-05,352
2020-05-04,356
2020-05-03,131
2020-05-02,139
2020-05-01,306
2020-04-30,656
2020-04-29,293
2020-04-28,372
2020-04-27,319
2020-04-26,129
2020-04-25,204
2020-04-24,248
2020-04-23,179
2020-04-22,278
2020-04-21,169
2020-04-20,336
2020-04-19,109
2020-04-18,171
2020-04-17,179
2020-04-16,189
2020-04-15,272
2020-04-14,196
2020-04-13,205
2020-04-12,197
2020-04-11,197
2020-04-10,269
2020-04-09,234
2020-04-08,369
2020-04-07,272
2020-04-06,287
2020-04-05,213
2020-04-04,220
2020-04-03,171
2020-04-02,241
2020-04-01,292
2020-03-31,189
2020-03-30,237
2020-03-29,158
2020-03-28,233
2020-03-27,214
2020-03-26,175
2020-03-25,223
2020-03-24,203
2020-03-23,209
2020-03-22,166
2020-03-21,186
2020-03-20,234
2020-03-19,194
2020-03-18,210
2020-03-17,229
2020-03-16,257
2020-03-15,206
2020-03-14,233
2020-03-13,198
2020-03-12,156
2020-03-11,143
2020-03-10,140
2020-03-09,119
2020-03-08,348
2020-03-07,140
2020-03-06,76
2020-03-05,59
2020-03-04,37
2020-03-03,46
2020-03-02,29
2020-03-01,50
2020-01-21,2
2020-01-18,1
